titre,discipline_code,discipline,rang_fnege_2025,pissn,eissn,issn_cle,slug,editeur,openalex_id,nom_openalex
ACCOUNTING REVIEW (THE),ACC,Comptabilité,1*,0001-4826,1558-7967,1558-7967,accounting-review-the,American Accounting Association,https://openalex.org/S160506855,The Accounting Review
"""ACCOUNTING"," ORGANIZATION AND SOCIETY""",ACC,Comptabilité,1*,0361-3682,1873-6289,1873-6289,Elsevier BV,https://openalex.org/S198892436,Accounting Organizations and Society
JOURNAL OF ACCOUNTING AND ECONOMICS,ACC,Comptabilité,1*,0165-4101,1879-1980,1879-1980,journal-of-accounting-and-economics,Elsevier BV,https://openalex.org/S62142384,Journal of Accounting and Economics
JOURNAL OF ACCOUNTING RESEARCH,ACC,Comptabilité,1*,0021-8456,1475-679X,1475-679X,journal-of-accounting-research,Wiley,https://openalex.org/S111116695,Journal of Accounting Research
CONTEMPORARY ACCOUNTING RESEARCH,ACC,Comptabilité,1,0823-9150,1911-3846,1911-3846,contemporary-accounting-research,Wiley,https://openalex.org/S65924262,Contemporary Accounting Research
REVIEW OF ACCOUNTING STUDIES,ACC,Comptabilité,1,1380-6653,1573-7136,1573-7136,review-of-accounting-studies,Springer Science+Business Media,https://openalex.org/S11853582,Review of Accounting Studies
ABACUS,ACC,Comptabilité,2,0001-3072,1467-6281,1467-6281,abacus,Wiley,https://openalex.org/S161221442,Abacus
ACCOUNTING AND BUSINESS RESEARCH,ACC,Comptabilité,2,0001-4788,2159-4260,2159-4260,accounting-and-business-research,Taylor & Francis,https://openalex.org/S323237,Accounting and Business Research
ACCOUNTING HORIZONS,ACC,Comptabilité,2,0888-7993,1558-7975,1558-7975,accounting-horizons,American Accounting Association,https://openalex.org/S181356434,Accounting Horizons
"""ACCOUNTING"," AUDITING AND ACCOUNTABILITY JOURNAL""",ACC,Comptabilité,2,0951-3574,1758-4205,1758-4205,Emerald Publishing Limited,https://openalex.org/S4210224324,Accounting Auditing & Accountability Journal
AUDITING-A JOURNAL OF PRACTICE & THEORY,ACC,Comptabilité,2,0278-0380,1558-7991,1558-7991,auditing-a-journal-of-practice-and-theory,American Accounting Association,https://openalex.org/S75845752,Auditing A Journal of Practice & Theory
BRITISH ACCOUNTING REVIEW,ACC,Comptabilité,2,0890-8389,1095-8347,1095-8347,british-accounting-review,Elsevier BV,https://openalex.org/S197396629,The British Accounting Review
COMPTABILITÉ-CONTRÔLE-AUDIT,ACC,Comptabilité,2,1262-2788,2313-514X,2313-514X,comptabilite-controle-audit,,https://openalex.org/S4210172125,Comptabilité - Contrôle - Audit
CRITICAL PERSPECTIVES ON ACCOUNTING,ACC,Comptabilité,2,1045-2354,1095-9955,1095-9955,critical-perspectives-on-accounting,Elsevier BV,https://openalex.org/S66510378,Critical Perspectives on Accounting
EUROPEAN ACCOUNTING REVIEW,ACC,Comptabilité,2,0963-8180,1468-4497,1468-4497,european-accounting-review,Routledge,https://openalex.org/S171424506,European Accounting Review
JOURNAL OF BUSINESS FINANCE AND ACCOUNTING,ACC,Comptabilité,2,0306-686X,1468-5957,1468-5957,journal-of-business-finance-and-accounting,Wiley,https://openalex.org/S48254654,Journal of Business Finance &amp Accounting
MANAGEMENT ACCOUNTING RESEARCH,ACC,Comptabilité,2,1044-5005,1096-1224,1096-1224,management-accounting-research,Elsevier BV,https://openalex.org/S114140714,Management Accounting Research
ACCOUNTING AND FINANCE,ACC,Comptabilité,3,0810-5391,1467-629X,1467-629X,accounting-and-finance,Wiley,https://openalex.org/S4210171597,Accounting and Finance
ACCOUNTING FORUM,ACC,Comptabilité,3,0155-9982,1467-6303,1467-6303,accounting-forum,Taylor & Francis,https://openalex.org/S131296671,Accounting Forum
ACCOUNTING IN EUROPE,ACC,Comptabilité,3,1744-9480,1744-9499,1744-9499,accounting-in-europe,Routledge,https://openalex.org/S31181851,Accounting in Europe
ADVANCES IN ACCOUNTING (INCORPORATING: ADVANCES IN INTERNATIONAL ACCOUNTING),ACC,Comptabilité,3,0882-6110,1046-5715,1046-5715,advances-in-accounting-incorporating-advances-in-international-accounting,Elsevier BV,https://openalex.org/S27001385,Advances in Accounting
AUSTRALIAN ACCOUNTING REVIEW,ACC,Comptabilité,3,1035-6908,1835-2561,1835-2561,australian-accounting-review,Wiley,https://openalex.org/S144747835,Australian Accounting Review
BEHAVIORAL RESEARCH IN ACCOUNTING,ACC,Comptabilité,3,1050-4753,1558-8009,1558-8009,behavioral-research-in-accounting,American Accounting Association,https://openalex.org/S41393910,Behavioral Research in Accounting
INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,ACC,Comptabilité,3,1467-0895,1873-4723,1873-4723,international-journal-of-accounting-information-systems,Elsevier BV,https://openalex.org/S38901890,International Journal of Accounting Information Systems
INTERNATIONAL JOURNAL OF AUDITING,ACC,Comptabilité,3,1090-6738,1099-1123,1099-1123,international-journal-of-auditing,Wiley,https://openalex.org/S152372256,International Journal of Auditing
INTERNATIONAL LABOUR REVIEW,ACC,Comptabilité,3,0020-7780,1564-913X,1564-913X,international-labour-review,Wiley,https://openalex.org/S50174339,International Labour Review
JOURNAL OF ACCOUNTING LITERATURE,ACC,Comptabilité,3,0737-4607,2452-1469,2452-1469,journal-of-accounting-literature,Elsevier BV,https://openalex.org/S2898124213,Journal of Accounting Literature
"""JOURNAL OF ACCOUNTING"," AUDITING AND FINANCE""",ACC,Comptabilité,3,0148-558X,2160-4061,2160-4061,SAGE Publishing,https://openalex.org/S107181468,Journal of Accounting Auditing & Finance
JOURNAL OF APPLIED ACCOUNTING RESEARCH,ACC,Comptabilité,3,0967-5426,1758-8855,1758-8855,journal-of-applied-accounting-research,Emerald Publishing Limited,https://openalex.org/S144250037,Journal of Applied Accounting Research
JOURNAL OF CONTEMPORARY ACCOUNTING & ECONOMICS,ACC,Comptabilité,3,1815-5669,2352-3298,2352-3298,journal-of-contemporary-accounting-and-economics,Elsevier BV,https://openalex.org/S142725411,Journal of Contemporary Accounting & Economics
JOURNAL OF INTERNATIONAL ACCOUNTING RESEARCH,ACC,Comptabilité,3,1542-6297,1558-8025,1558-8025,journal-of-international-accounting-research,American Accounting Association,https://openalex.org/S127536956,Journal of International Accounting Research
"""JOURNAL OF INTERNATIONAL ACCOUNTING"," AUDITING AND TAXATION""",ACC,Comptabilité,3,1061-9518,1879-1603,1879-1603,Elsevier BV,https://openalex.org/S132432621,Journal of International Accounting Auditing and Taxation
JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,ACC,Comptabilité,3,0954-1314,1467-646X,1467-646X,journal-of-international-financial-management-and-accounting,Wiley,https://openalex.org/S83262020,Journal of International Financial Management and Accounting
JOURNAL OF MANAGEMENT ACCOUNTING RESEARCH,ACC,Comptabilité,3,1049-2127,1558-8033,1558-8033,journal-of-management-accounting-research,American Accounting Association,https://openalex.org/S16069442,Journal of Management Accounting Research
MANAGERIAL AUDITING JOURNAL,ACC,Comptabilité,3,0268-6902,1758-7735,1758-7735,managerial-auditing-journal,Emerald Publishing Limited,https://openalex.org/S136661304,Managerial Auditing Journal
QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT,ACC,Comptabilité,3,1176-6093,1758-7654,1758-7654,qualitative-research-in-accounting-and-management,Emerald Publishing Limited,https://openalex.org/S76239586,Qualitative Research in Accounting & Management
"""SUSTAINABILITY ACCOUNTING"," MANAGEMENT AND POLICY JOURNAL""",ACC,Comptabilité,3,2040-8021,2040-803X,2040-803X,Emerald Publishing Limited,https://openalex.org/S183939566,Sustainability Accounting Management and Policy Journal
THE INTERNATIONAL JOURNAL OF ACCOUNTING,ACC,Comptabilité,3,1094-4060,2213-3933,2213-3933,the-international-journal-of-accounting,Elsevier BV,https://openalex.org/S5835822,The International Journal of Accounting
ACADEMY OF MANAGEMENT LEARNING AND EDUCATION,EDUC,Enseignement,1,1537-260X,1944-9585,1944-9585,academy-of-management-learning-and-education,Academy of Management,https://openalex.org/S45682993,Academy of Management Learning and Education
MANAGEMENT LEARNING,EDUC,Enseignement,2,1350-5076,1461-7307,1461-7307,management-learning,SAGE Publishing,https://openalex.org/S99768379,Management Learning
JOURNAL OF MANAGEMENT EDUCATION,EDUC,Enseignement,3,1052-5629,1552-6658,1552-6658,journal-of-management-education,SAGE Publishing,https://openalex.org/S190363454,Organizational Behavior Teaching Review
STUDIES IN HIGHER EDUCATION,EDUC,Enseignement,3,0307-5079,1470-174X,1470-174X,studies-in-higher-education,Routledge,https://openalex.org/S162196882,Studies in Higher Education
AMERICAN JOURNAL OF SOCIOLOGY,BUS SOC,Entreprise et société,1,0002-9602,1537-5390,1537-5390,american-journal-of-sociology,University of Chicago Press,https://openalex.org/S122471516,American Journal of Sociology
AMERICAN SOCIOLOGICAL REVIEW,BUS SOC,Entreprise et société,1,0003-1224,1939-8271,1939-8271,american-sociological-review,SAGE Publishing,https://openalex.org/S157620343,American Sociological Review
ECONOMIC GEOGRAPHY,BUS SOC,Entreprise et société,1,0013-0095,1944-8287,1944-8287,economic-geography,Taylor & Francis,https://openalex.org/S38825547,Economic Geography
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,BUS SOC,Entreprise et société,1,0095-0696,1096-0449,1096-0449,journal-of-environmental-economics-and-management,Elsevier BV,https://openalex.org/S200872515,Journal of Environmental Economics and Management
ANNUAL REVIEW OF SOCIOLOGY,BUS SOC,Entreprise et société,2,0360-0572,1545-2115,1545-2115,annual-review-of-sociology,Annual Reviews,https://openalex.org/S61274580,Annual Review of Sociology
BUSINESS AND SOCIETY,BUS SOC,Entreprise et société,2,0007-6503,1552-4205,1552-4205,business-and-society,SAGE Publishing,https://openalex.org/S44376543,Business & Society
ECOLOGICAL ECONOMICS,BUS SOC,Entreprise et société,2,1873-6106,1989-2021,1989-2021,ecological-economics,Elsevier BV,https://openalex.org/S136211407,Ecological Economics
ENVIRONMENTAL AND RESOURCE ECONOMICS,BUS SOC,Entreprise et société,2,0924-6460,1573-1502,1573-1502,environmental-and-resource-economics,Springer Science+Business Media,https://openalex.org/S86125002,Environmental and Resource Economics
GENDER AND SOCIETY,BUS SOC,Entreprise et société,2,0891-2432,1552-3977,1552-3977,gender-and-society,SAGE Publishing,https://openalex.org/S113116626,Gender & Society
GLOBAL ENVIRONMENTAL CHANGE,BUS SOC,Entreprise et société,2,0959-3780,1872-9495,1872-9495,global-environmental-change,Elsevier BV,https://openalex.org/S130750583,Global Environmental Change
JOURNAL OF ECONOMIC GEOGRAPHY,BUS SOC,Entreprise et société,2,1468-2702,1468-2710,1468-2710,journal-of-economic-geography,Oxford University Press,https://openalex.org/S46039370,Journal of Economic Geography
