titre,discipline_code,discipline,rang_fnege_2025,pissn,eissn,issn_cle,slug
ACCOUNTING REVIEW (THE),ACC,Comptabilité,1*,0001-4826,1558-7967,1558-7967,accounting-review-the
"ACCOUNTING, ORGANIZATION AND SOCIETY",ACC,Comptabilité,1*,0361-3682,1873-6289,1873-6289,accounting-organization-and-society
JOURNAL OF ACCOUNTING AND ECONOMICS,ACC,Comptabilité,1*,0165-4101,1879-1980,1879-1980,journal-of-accounting-and-economics
JOURNAL OF ACCOUNTING RESEARCH,ACC,Comptabilité,1*,0021-8456,1475-679X,1475-679X,journal-of-accounting-research
CONTEMPORARY ACCOUNTING RESEARCH,ACC,Comptabilité,1,0823-9150,1911-3846,1911-3846,contemporary-accounting-research
REVIEW OF ACCOUNTING STUDIES,ACC,Comptabilité,1,1380-6653,1573-7136,1573-7136,review-of-accounting-studies
ABACUS,ACC,Comptabilité,2,0001-3072,1467-6281,1467-6281,abacus
ACCOUNTING AND BUSINESS RESEARCH,ACC,Comptabilité,2,0001-4788,2159-4260,2159-4260,accounting-and-business-research
ACCOUNTING HORIZONS,ACC,Comptabilité,2,0888-7993,1558-7975,1558-7975,accounting-horizons
"ACCOUNTING, AUDITING AND ACCOUNTABILITY JOURNAL",ACC,Comptabilité,2,0951-3574,1758-4205,1758-4205,accounting-auditing-and-accountability-journal
AUDITING-A JOURNAL OF PRACTICE & THEORY,ACC,Comptabilité,2,0278-0380,1558-7991,1558-7991,auditing-a-journal-of-practice-and-theory
BRITISH ACCOUNTING REVIEW,ACC,Comptabilité,2,0890-8389,1095-8347,1095-8347,british-accounting-review
COMPTABILITÉ-CONTRÔLE-AUDIT,ACC,Comptabilité,2,1262-2788,2313-514X,2313-514X,comptabilite-controle-audit
CRITICAL PERSPECTIVES ON ACCOUNTING,ACC,Comptabilité,2,1045-2354,1095-9955,1095-9955,critical-perspectives-on-accounting
EUROPEAN ACCOUNTING REVIEW,ACC,Comptabilité,2,0963-8180,1468-4497,1468-4497,european-accounting-review
JOURNAL OF BUSINESS FINANCE AND ACCOUNTING,ACC,Comptabilité,2,0306-686X,1468-5957,1468-5957,journal-of-business-finance-and-accounting
MANAGEMENT ACCOUNTING RESEARCH,ACC,Comptabilité,2,1044-5005,1096-1224,1096-1224,management-accounting-research
ACCOUNTING AND FINANCE,ACC,Comptabilité,3,0810-5391,1467-629X,1467-629X,accounting-and-finance
ACCOUNTING FORUM,ACC,Comptabilité,3,0155-9982,1467-6303,1467-6303,accounting-forum
ACCOUNTING IN EUROPE,ACC,Comptabilité,3,1744-9480,1744-9499,1744-9499,accounting-in-europe
ADVANCES IN ACCOUNTING (INCORPORATING: ADVANCES IN INTERNATIONAL ACCOUNTING),ACC,Comptabilité,3,0882-6110,1046-5715,1046-5715,advances-in-accounting-incorporating-advances-in-international-accounting
AUSTRALIAN ACCOUNTING REVIEW,ACC,Comptabilité,3,1035-6908,1835-2561,1835-2561,australian-accounting-review
BEHAVIORAL RESEARCH IN ACCOUNTING,ACC,Comptabilité,3,1050-4753,1558-8009,1558-8009,behavioral-research-in-accounting
INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,ACC,Comptabilité,3,1467-0895,1873-4723,1873-4723,international-journal-of-accounting-information-systems
INTERNATIONAL JOURNAL OF AUDITING,ACC,Comptabilité,3,1090-6738,1099-1123,1099-1123,international-journal-of-auditing
INTERNATIONAL LABOUR REVIEW,ACC,Comptabilité,3,0020-7780,1564-913X,1564-913X,international-labour-review
JOURNAL OF ACCOUNTING LITERATURE,ACC,Comptabilité,3,0737-4607,2452-1469,2452-1469,journal-of-accounting-literature
"JOURNAL OF ACCOUNTING, AUDITING AND FINANCE",ACC,Comptabilité,3,0148-558X,2160-4061,2160-4061,journal-of-accounting-auditing-and-finance
JOURNAL OF APPLIED ACCOUNTING RESEARCH,ACC,Comptabilité,3,0967-5426,1758-8855,1758-8855,journal-of-applied-accounting-research
JOURNAL OF CONTEMPORARY ACCOUNTING & ECONOMICS,ACC,Comptabilité,3,1815-5669,2352-3298,2352-3298,journal-of-contemporary-accounting-and-economics
JOURNAL OF INTERNATIONAL ACCOUNTING RESEARCH,ACC,Comptabilité,3,1542-6297,1558-8025,1558-8025,journal-of-international-accounting-research
"JOURNAL OF INTERNATIONAL ACCOUNTING, AUDITING AND TAXATION",ACC,Comptabilité,3,1061-9518,1879-1603,1879-1603,journal-of-international-accounting-auditing-and-taxation
JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,ACC,Comptabilité,3,0954-1314,1467-646X,1467-646X,journal-of-international-financial-management-and-accounting
JOURNAL OF MANAGEMENT ACCOUNTING RESEARCH,ACC,Comptabilité,3,1049-2127,1558-8033,1558-8033,journal-of-management-accounting-research
MANAGERIAL AUDITING JOURNAL,ACC,Comptabilité,3,0268-6902,1758-7735,1758-7735,managerial-auditing-journal
QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT,ACC,Comptabilité,3,1176-6093,1758-7654,1758-7654,qualitative-research-in-accounting-and-management
"SUSTAINABILITY ACCOUNTING, MANAGEMENT AND POLICY JOURNAL",ACC,Comptabilité,3,2040-8021,2040-803X,2040-803X,sustainability-accounting-management-and-policy-journal
THE INTERNATIONAL JOURNAL OF ACCOUNTING,ACC,Comptabilité,3,1094-4060,2213-3933,2213-3933,the-international-journal-of-accounting
ACADEMY OF MANAGEMENT LEARNING AND EDUCATION,EDUC,Enseignement,1,1537-260X,1944-9585,1944-9585,academy-of-management-learning-and-education
MANAGEMENT LEARNING,EDUC,Enseignement,2,1350-5076,1461-7307,1461-7307,management-learning
JOURNAL OF MANAGEMENT EDUCATION,EDUC,Enseignement,3,1052-5629,1552-6658,1552-6658,journal-of-management-education
STUDIES IN HIGHER EDUCATION,EDUC,Enseignement,3,0307-5079,1470-174X,1470-174X,studies-in-higher-education
AMERICAN JOURNAL OF SOCIOLOGY,BUS SOC,Entreprise et société,1,0002-9602,1537-5390,1537-5390,american-journal-of-sociology
AMERICAN SOCIOLOGICAL REVIEW,BUS SOC,Entreprise et société,1,0003-1224,1939-8271,1939-8271,american-sociological-review
ECONOMIC GEOGRAPHY,BUS SOC,Entreprise et société,1,0013-0095,1944-8287,1944-8287,economic-geography
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,BUS SOC,Entreprise et société,1,0095-0696,1096-0449,1096-0449,journal-of-environmental-economics-and-management
ANNUAL REVIEW OF SOCIOLOGY,BUS SOC,Entreprise et société,2,0360-0572,1545-2115,1545-2115,annual-review-of-sociology
BUSINESS AND SOCIETY,BUS SOC,Entreprise et société,2,0007-6503,1552-4205,1552-4205,business-and-society
ECOLOGICAL ECONOMICS,BUS SOC,Entreprise et société,2,1873-6106,1989-2021,1989-2021,ecological-economics
ENVIRONMENTAL AND RESOURCE ECONOMICS,BUS SOC,Entreprise et société,2,0924-6460,1573-1502,1573-1502,environmental-and-resource-economics
